Color Style ,Aroma Intensity,Alcoholic Strength,Bitterness Intensity,Foam Level,Willing to pay (MXN)...,Score,Rank,Lower boundary of 90% confidence interval,Upper boundary of 90% confidence interval
Very dark color,Low intensity aromas,Very intense alcohol content,Medium bitterness,Medium foam,$30-$39,13.4651,99,11.6856,15.0882
Very dark color,Low intensity aromas,Intense alcohol content,Low bitterness,Low foam,$60-$69,13.461,100,11.8577,15.2174
Very dark color,Intense aromas,Very intense alcohol content,Low bitterness,Low foam,$60-$69,13.4074,101,11.7994,15.1852
Pale color,Intense aromas,Medium alcohol content,Medium bitterness,Medium foam,$30-$39,13.3512,102,11.6078,15.0552
Very dark color,Medium intensity aromas,Very intense alcohol content,Medium bitterness,Low foam,$40-$49,13.3485,103,11.8932,14.7413
Pale color,Medium intensity aromas,Medium alcohol content,Low bitterness,Medium foam,$40-$49,13.3165,104,11.869,14.667
Very dark color,Low intensity aromas,Very intense alcohol content,Medium bitterness,Low foam,$60-$69,13.3154,105,11.9464,14.696
Pale color,Medium intensity aromas,Intense alcohol content,Medium bitterness,Medium foam,$40-$49,13.2753,106,11.7545,14.66
Very dark color,Very intense aromas,Very intense alcohol content,Low bitterness,No or very low foam,$60-$69,13.1326,107,11.7311,14.7585
Very dark color,Intense aromas,Medium alcohol content,Low bitterness,Low foam,$40-$49,13.0631,108,11.6893,14.6454
Very dark color,Low intensity aromas,Very intense alcohol content,Intense bitterness,Low foam,$30-$39,13.0544,109,11.2626,14.8258
Very dark color,Low intensity aromas,Very intense alcohol content,No or very low bitterness,Low foam,$40-$49,13.0032,110,11.7867,14.3212
Pale color,Intense aromas,Medium alcohol content,Low bitterness,Medium foam,$30-$39,12.9809,111,11.3353,14.6644
Very dark color,Low intensity aromas,Medium alcohol content,Medium bitterness,Low foam,$40-$49,12.9711,112,11.6303,14.267
Pale color,Intense aromas,Intense alcohol content,Medium bitterness,Medium foam,$30-$39,12.9397,113,11.3344,14.4227
Very dark color,Medium intensity aromas,Very intense alcohol content,No or very low bitterness,No or very low foam,$30-$39,12.9381,114,11.5297,14.3851
Very dark color,Medium intensity aromas,Very intense alcohol content,Low bitterness,High foam,$40-$49,12.9337,115,11.5472,14.5952
Very dark color,Low intensity aromas,Very intense alcohol content,Very intense bitterness,Low foam,$40-$49,12.9313,116,11.5448,14.1844
Very dark color,Intense aromas,Intense alcohol content,Low bitterness,Low foam,$30-$39,12.9209,117,11.2862,14.6124
Very dark color,Medium intensity aromas,Medium alcohol content,Medium bitterness,No or very low foam,$30-$39,12.906,118,11.4614,14.4306
Pale color,Medium intensity aromas,Intense alcohol content,Low bitterness,Medium foam,$40-$49,12.905,119,11.5367,14.2203
Very dark color,Low intensity aromas,Very intense alcohol content,Low bitterness,High foam,$60-$69,12.9005,120,11.4108,14.5423
Very dark color,Medium intensity aromas,Very intense alcohol content,Very intense bitterness,No or very low foam,$30-$39,12.8663,121,11.1829,14.458
Very dark color,Low intensity aromas,Intense alcohol content,Medium bitterness,Low foam,$30-$39,12.8289,122,11.0563,14.3858
